Touch Area (mm²),Pressure (force),Age Group
106,0.48,Child
136,0.7,Child
264,1.43,Teen
643,3.13,Adult
473,2.39,Adult
587,2.86,Adult
324,1.71,Teen
113,0.6,Child
560,2.77,Adult
101,0.5,Child
605,3.05,Adult
103,0.54,Child
94,0.47,Child
70,0.37,Child
85,0.46,Child
117,0.58,Child
261,1.19,Teen
98,0.44,Child
87,0.49,Child
125,0.6,Child
232,1.1,Teen
630,3.0,Adult
465,2.43,Adult
238,1.16,Teen
642,3.11,Adult
617,3.21,Adult
117,0.5,Child
244,1.3,Teen
96,0.5,Child
105,0.57,Child
118,0.67,Child
235,1.22,Teen
518,2.61,Adult
462,2.2,Adult
540,2.63,Adult
270,1.33,Teen
639,3.27,Adult
640,3.13,Adult
105,0.48,Child
609,3.2,Adult
117,0.64,Child
103,0.47,Child
637,3.05,Adult
560,2.89,Adult
582,2.91,Adult
134,0.61,Child
255,1.18,Teen
83,0.45,Child
109,0.63,Child
254,1.31,Teen
258,1.18,Teen
245,1.29,Teen
558,2.75,Adult
112,0.59,Child
523,2.53,Adult
121,0.67,Child
108,0.51,Child
105,0.45,Child
488,2.46,Adult
117,0.67,Child
481,2.52,Adult
551,2.7,Adult
274,1.41,Teen
296,1.46,Teen
100,0.44,Child
241,1.11,Teen
289,1.36,Teen
237,1.2,Teen
98,0.44,Child
259,1.21,Teen
93,0.45,Child
293,1.54,Teen
253,1.18,Teen
138,0.73,Child
99,0.46,Child
285,1.53,Teen
314,1.72,Teen
638,3.13,Adult
252,1.23,Teen
242,1.13,Teen
243,1.27,Teen
233,1.26,Teen
93,0.5,Child
267,1.21,Teen
82,0.47,Child
604,3.12,Adult
294,1.56,Teen
283,1.38,Teen
75,0.39,Child
255,1.32,Teen
647,3.2,Adult
241,1.19,Teen
131,0.62,Child
118,0.67,Child
82,0.41,Child
92,0.48,Child
82,0.37,Child
283,1.41,Teen
504,2.57,Adult
571,2.78,Adult
482,2.31,Adult
232,1.15,Teen
137,0.73,Child
268,1.32,Teen
286,1.56,Teen
262,1.24,Teen
95,0.52,Child
633,3.22,Adult
124,0.54,Child
83,0.43,Child
284,1.43,Teen
277,1.34,Teen
596,3.02,Adult
628,3.18,Adult
128,0.63,Child
475,2.48,Adult
639,3.15,Adult
267,1.22,Teen
329,1.63,Teen
88,0.47,Child
138,0.61,Child
75,0.41,Child
273,1.34,Teen
623,3.09,Adult
310,1.57,Teen
594,3.03,Adult
71,0.39,Child
329,1.61,Teen
84,0.47,Child
471,2.29,Adult
323,1.72,Teen
518,2.57,Adult
534,2.64,Adult
543,2.64,Adult
113,0.52,Child
124,0.69,Child
452,2.31,Adult
73,0.36,Child
95,0.5,Child
308,1.56,Teen
137,0.71,Child
79,0.4,Child
79,0.35,Child
101,0.49,Child
272,1.35,Teen
129,0.73,Child
631,3.16,Adult
244,1.3,Teen
570,2.78,Adult
261,1.25,Teen
256,1.33,Teen
129,0.71,Child
125,0.55,Child
100,0.49,Child
501,2.58,Adult
94,0.48,Child
633,3.21,Adult
585,3.0,Adult
296,1.36,Teen
114,0.58,Child
591,2.89,Adult
471,2.24,Adult
541,2.65,Adult
245,1.16,Teen
499,2.61,Adult
460,2.21,Adult
485,2.45,Adult
471,2.36,Adult
613,3.06,Adult
324,1.59,Teen
118,0.63,Child
282,1.4,Teen
322,1.51,Teen
283,1.49,Teen
120,0.62,Child
304,1.37,Teen
265,1.4,Teen
328,1.5,Teen
245,1.18,Teen
250,1.2,Teen
112,0.51,Child
462,2.22,Adult
563,2.95,Adult
266,1.25,Teen
567,2.81,Adult
242,1.15,Teen
113,0.63,Child
98,0.43,Child
624,3.22,Adult
265,1.45,Teen
299,1.37,Teen
595,3.05,Adult
477,2.28,Adult
641,3.19,Adult
73,0.37,Child
330,1.75,Teen
118,0.63,Child
321,1.6,Teen
540,2.78,Adult
490,2.37,Adult
620,3.16,Adult
237,1.3,Teen
125,0.72,Child
326,1.55,Teen
70,0.36,Child
302,1.58,Teen
96,0.45,Child
139,0.6,Child
492,2.51,Adult
107,0.58,Child
319,1.46,Teen
456,2.26,Adult
577,2.81,Adult
232,1.2,Teen
252,1.22,Teen
85,0.45,Child
236,1.1,Teen
280,1.51,Teen
245,1.32,Teen
328,1.52,Teen
86,0.43,Child
91,0.43,Child
242,1.22,Teen
473,2.29,Adult
99,0.54,Child
89,0.39,Child
304,1.65,Teen
241,1.15,Teen
513,2.45,Adult
115,0.63,Child
562,2.85,Adult
106,0.52,Child
320,1.51,Teen
298,1.54,Teen
117,0.53,Child
289,1.4,Teen
309,1.48,Teen
104,0.55,Child
266,1.42,Teen
579,3.02,Adult
299,1.4,Teen
135,0.75,Child
601,2.87,Adult
139,0.68,Child
80,0.46,Child
292,1.54,Teen
620,3.21,Adult
260,1.32,Teen
250,1.22,Teen
106,0.56,Child
463,2.25,Adult
266,1.21,Teen
629,3.1,Adult
76,0.37,Child
302,1.64,Teen
243,1.15,Teen
308,1.6,Teen
280,1.5,Teen
529,2.72,Adult
85,0.48,Child
603,2.91,Adult
650,3.12,Adult
137,0.61,Child
329,1.62,Teen
319,1.59,Teen
246,1.2,Teen
552,2.85,Adult
526,2.68,Adult
301,1.45,Teen
272,1.35,Teen
559,2.71,Adult
330,1.69,Teen
461,2.22,Adult
507,2.44,Adult
473,2.37,Adult
299,1.51,Teen
292,1.51,Teen
268,1.36,Teen
130,0.68,Child
100,0.56,Child
329,1.58,Teen
94,0.52,Child
269,1.37,Teen
252,1.25,Teen
498,2.37,Adult
325,1.48,Teen
116,0.65,Child
259,1.28,Teen
108,0.59,Child
286,1.51,Teen
82,0.39,Child
112,0.57,Child
270,1.4,Teen
132,0.66,Child
70,0.38,Child
460,2.38,Adult
607,2.92,Adult
250,1.32,Teen
321,1.65,Teen
299,1.4,Teen
307,1.5,Teen
537,2.66,Adult
100,0.46,Child
610,3.04,Adult
554,2.7,Adult
538,2.65,Adult
261,1.38,Teen
573,2.76,Adult
112,0.49,Child
300,1.38,Teen
267,1.34,Teen
519,2.48,Adult
488,2.45,Adult
246,1.23,Teen
548,2.78,Adult
264,1.25,Teen
323,1.59,Teen
241,1.13,Teen
88,0.48,Child
127,0.64,Child
325,1.66,Teen
618,3.18,Adult
463,2.21,Adult
305,1.38,Teen
650,3.18,Adult
77,0.35,Child
582,2.81,Adult
594,2.89,Adult
250,1.37,Teen
492,2.45,Adult
517,2.68,Adult
122,0.7,Child
87,0.49,Child
306,1.6,Teen
304,1.53,Teen
271,1.48,Teen
307,1.64,Teen
73,0.35,Child
273,1.4,Teen
326,1.69,Teen
253,1.19,Teen
324,1.51,Teen
302,1.57,Teen
470,2.35,Adult
453,2.34,Adult
249,1.16,Teen
102,0.55,Child
87,0.48,Child
93,0.44,Child
108,0.51,Child
318,1.58,Teen
280,1.35,Teen
600,3.02,Adult
573,2.8,Adult
533,2.72,Adult
553,2.87,Adult
75,0.4,Child
647,3.23,Adult
547,2.69,Adult
608,3.08,Adult
613,3.22,Adult
492,2.44,Adult
590,2.91,Adult
462,2.34,Adult
584,2.83,Adult
267,1.36,Teen
479,2.37,Adult
260,1.37,Teen
112,0.51,Child
320,1.71,Teen
639,3.3,Adult
130,0.58,Child
136,0.61,Child
508,2.55,Adult
542,2.67,Adult
631,3.04,Adult
88,0.47,Child
298,1.42,Teen
506,2.46,Adult
557,2.89,Adult
110,0.54,Child
132,0.73,Child
262,1.42,Teen
484,2.43,Adult
474,2.4,Adult
88,0.45,Child
85,0.45,Child
107,0.58,Child
545,2.61,Adult
271,1.24,Teen
92,0.49,Child
461,2.3,Adult
499,2.42,Adult
324,1.6,Teen
257,1.2,Teen
573,2.9,Adult
457,2.22,Adult
88,0.47,Child
123,0.66,Child
249,1.23,Teen
326,1.68,Teen
568,2.88,Adult
324,1.57,Teen
584,2.89,Adult
321,1.46,Teen
294,1.39,Teen
259,1.4,Teen
71,0.35,Child
620,3.07,Adult
329,1.49,Teen
111,0.61,Child
82,0.36,Child
615,2.95,Adult
299,1.41,Teen
508,2.62,Adult
556,2.9,Adult
79,0.35,Child
97,0.48,Child
462,2.4,Adult
236,1.2,Teen
109,0.49,Child
117,0.54,Child
247,1.23,Teen
291,1.54,Teen
261,1.32,Teen
260,1.18,Teen
450,2.35,Adult
473,2.34,Adult
103,0.47,Child
307,1.62,Teen
286,1.43,Teen
106,0.47,Child
324,1.6,Teen
139,0.59,Child
122,0.58,Child
248,1.27,Teen
139,0.75,Child
295,1.36,Teen
280,1.44,Teen
578,2.92,Adult
538,2.62,Adult
119,0.66,Child
101,0.44,Child
533,2.7,Adult
451,2.26,Adult
481,2.43,Adult
321,1.49,Teen
522,2.63,Adult
486,2.47,Adult
71,0.38,Child
620,3.15,Adult
320,1.67,Teen
524,2.53,Adult
298,1.48,Teen
245,1.16,Teen
258,1.41,Teen
458,2.24,Adult
266,1.45,Teen
618,2.94,Adult
125,0.62,Child
118,0.66,Child
94,0.46,Child
288,1.41,Teen
472,2.42,Adult
235,1.12,Teen
72,0.36,Child
479,2.38,Adult
103,0.57,Child
131,0.6,Child
92,0.42,Child
109,0.5,Child
267,1.32,Teen
235,1.24,Teen
100,0.53,Child
582,2.77,Adult
283,1.28,Teen
108,0.58,Child
300,1.48,Teen
133,0.69,Child
599,3.12,Adult
245,1.28,Teen
114,0.61,Child
123,0.56,Child
326,1.52,Teen
313,1.69,Teen
134,0.72,Child
553,2.64,Adult
543,2.84,Adult
119,0.56,Child
474,2.44,Adult
563,2.81,Adult
274,1.28,Teen
501,2.53,Adult
294,1.48,Teen
566,2.92,Adult
108,0.62,Child
130,0.72,Child
581,2.78,Adult
457,2.2,Adult
272,1.28,Teen
636,3.05,Adult
88,0.41,Child
585,3.07,Adult
275,1.26,Teen
577,2.77,Adult
122,0.58,Child
129,0.6,Child
78,0.4,Child
80,0.36,Child
568,2.96,Adult
584,2.9,Adult
265,1.4,Teen
309,1.66,Teen
83,0.41,Child
243,1.11,Teen
296,1.57,Teen
304,1.59,Teen
637,3.12,Adult
260,1.25,Teen
551,2.83,Adult
322,1.67,Teen
616,3.14,Adult
595,3.01,Adult
485,2.47,Adult
509,2.55,Adult
70,0.35,Child
116,0.62,Child
128,0.72,Child
118,0.59,Child
74,0.42,Child
260,1.25,Teen
124,0.67,Child
89,0.41,Child
598,3.04,Adult
295,1.4,Teen
94,0.46,Child
595,2.84,Adult
108,0.54,Child
296,1.53,Teen
237,1.27,Teen
546,2.8,Adult
628,3.29,Adult
609,3.05,Adult
70,0.38,Child
462,2.27,Adult
234,1.1,Teen
257,1.39,Teen
93,0.52,Child
563,2.83,Adult
601,3.14,Adult
591,2.95,Adult
292,1.54,Teen
270,1.35,Teen
482,2.31,Adult
128,0.6,Child
112,0.59,Child
80,0.35,Child
584,2.94,Adult
72,0.35,Child
244,1.11,Teen
319,1.55,Teen
118,0.55,Child
120,0.61,Child
140,0.71,Child
269,1.37,Teen
603,3.04,Adult
232,1.1,Teen
120,0.6,Child
107,0.49,Child
77,0.42,Child
562,2.73,Adult
594,3.0,Adult
589,3.0,Adult
522,2.7,Adult
104,0.6,Child
527,2.69,Adult
595,3.05,Adult
622,3.11,Adult
513,2.64,Adult
300,1.42,Teen
83,0.37,Child
240,1.13,Teen
104,0.57,Child
292,1.46,Teen
329,1.75,Teen
260,1.38,Teen
559,2.66,Adult
549,2.73,Adult
285,1.4,Teen
82,0.4,Child
472,2.47,Adult
241,1.26,Teen
287,1.37,Teen
101,0.45,Child
620,3.04,Adult
605,3.16,Adult
74,0.42,Child
298,1.38,Teen
105,0.52,Child
309,1.59,Teen
114,0.52,Child
555,2.66,Adult
119,0.57,Child
242,1.29,Teen
103,0.5,Child
635,3.14,Adult
328,1.67,Teen
101,0.53,Child
303,1.6,Teen
262,1.34,Teen
108,0.48,Child
277,1.37,Teen
244,1.31,Teen
650,3.21,Adult
127,0.59,Child
233,1.16,Teen
647,3.26,Adult
237,1.26,Teen
95,0.5,Child
116,0.63,Child
100,0.55,Child
273,1.43,Teen
509,2.66,Adult
302,1.54,Teen
101,0.56,Child
118,0.52,Child
96,0.54,Child
473,2.27,Adult
471,2.33,Adult
589,2.94,Adult
507,2.44,Adult
319,1.7,Teen
139,0.75,Child
546,2.85,Adult
329,1.54,Teen
326,1.53,Teen
466,2.44,Adult
86,0.42,Child
266,1.38,Teen
239,1.31,Teen
528,2.61,Adult
124,0.56,Child
493,2.41,Adult
248,1.12,Teen
485,2.36,Adult
462,2.23,Adult
510,2.53,Adult
91,0.52,Child
490,2.56,Adult
95,0.51,Child
92,0.53,Child
528,2.69,Adult
130,0.71,Child
632,3.21,Adult
456,2.2,Adult
465,2.22,Adult
126,0.6,Child
80,0.44,Child
270,1.26,Teen
125,0.67,Child
602,2.88,Adult
570,2.87,Adult
568,2.77,Adult
123,0.67,Child
293,1.48,Teen
73,0.35,Child
598,3.03,Adult
578,2.83,Adult
113,0.59,Child
302,1.57,Teen
240,1.18,Teen
319,1.48,Teen
275,1.51,Teen
259,1.21,Teen
530,2.53,Adult
325,1.75,Teen
535,2.57,Adult
83,0.45,Child
496,2.47,Adult
262,1.31,Teen
259,1.42,Teen
547,2.77,Adult
547,2.76,Adult
259,1.29,Teen
534,2.79,Adult
109,0.53,Child
140,0.67,Child
275,1.32,Teen
239,1.26,Teen
289,1.4,Teen
308,1.66,Teen
110,0.58,Child
113,0.58,Child
317,1.57,Teen
100,0.52,Child
253,1.36,Teen
270,1.47,Teen
104,0.5,Child
89,0.49,Child
649,3.3,Adult
265,1.44,Teen
286,1.52,Teen
110,0.58,Child
278,1.29,Teen
275,1.39,Teen
117,0.59,Child
132,0.75,Child
119,0.65,Child
631,3.14,Adult
107,0.5,Child
105,0.55,Child
126,0.54,Child
247,1.15,Teen
74,0.38,Child
115,0.57,Child
87,0.48,Child
307,1.68,Teen
130,0.63,Child
495,2.53,Adult
131,0.65,Child
275,1.26,Teen
578,2.9,Adult
518,2.5,Adult
140,0.75,Child
135,0.6,Child
304,1.47,Teen
320,1.6,Teen
271,1.48,Teen
581,2.92,Adult
249,1.24,Teen
269,1.38,Teen
639,3.13,Adult
283,1.5,Teen
572,2.89,Adult
646,3.3,Adult
471,2.27,Adult
292,1.45,Teen
283,1.43,Teen
612,3.12,Adult
294,1.56,Teen
460,2.21,Adult
108,0.49,Child
95,0.46,Child
290,1.51,Teen
129,0.72,Child
296,1.55,Teen
102,0.45,Child
133,0.69,Child
566,2.73,Adult
323,1.55,Teen
274,1.43,Teen
109,0.54,Child
139,0.73,Child
82,0.42,Child
80,0.38,Child
581,3.0,Adult
308,1.69,Teen
520,2.58,Adult
244,1.16,Teen
140,0.63,Child
516,2.58,Adult
134,0.61,Child
306,1.59,Teen
279,1.33,Teen
138,0.75,Child
100,0.49,Child
258,1.22,Teen
270,1.22,Teen
255,1.37,Teen
285,1.29,Teen
80,0.39,Child
139,0.69,Child
300,1.59,Teen
466,2.39,Adult
77,0.35,Child
309,1.47,Teen
470,2.34,Adult
599,2.88,Adult
77,0.44,Child
646,3.3,Adult
92,0.45,Child
590,2.82,Adult
266,1.39,Teen
327,1.75,Teen
290,1.36,Teen
85,0.48,Child
259,1.24,Teen
115,0.49,Child
88,0.39,Child
608,3.1,Adult
305,1.65,Teen
121,0.53,Child
250,1.26,Teen
77,0.44,Child
119,0.52,Child
240,1.23,Teen
256,1.4,Teen
270,1.39,Teen
306,1.61,Teen
522,2.7,Adult
274,1.31,Teen
119,0.67,Child
457,2.24,Adult
505,2.51,Adult
90,0.41,Child
318,1.48,Teen
75,0.39,Child
598,3.08,Adult
74,0.35,Child
314,1.5,Teen
131,0.65,Child
129,0.73,Child
113,0.57,Child
138,0.74,Child
315,1.72,Teen
535,2.61,Adult
95,0.49,Child
264,1.35,Teen
266,1.26,Teen
127,0.63,Child
253,1.38,Teen
273,1.36,Teen
325,1.74,Teen
94,0.5,Child
71,0.35,Child
84,0.38,Child
113,0.52,Child
117,0.55,Child
307,1.56,Teen
318,1.49,Teen
230,1.17,Teen
482,2.41,Adult
480,2.45,Adult
86,0.45,Child
239,1.15,Teen
456,2.2,Adult
242,1.14,Teen
540,2.79,Adult
245,1.26,Teen
232,1.18,Teen
116,0.61,Child
233,1.19,Teen
511,2.58,Adult
237,1.27,Teen
318,1.75,Teen
99,0.56,Child
555,2.73,Adult
119,0.58,Child
237,1.12,Teen
473,2.36,Adult
82,0.45,Child
290,1.39,Teen
239,1.15,Teen
137,0.59,Child
328,1.69,Teen
108,0.49,Child
567,2.77,Adult
86,0.41,Child
241,1.14,Teen
553,2.89,Adult
303,1.48,Teen
99,0.43,Child
531,2.63,Adult
480,2.38,Adult
323,1.47,Teen
512,2.67,Adult
70,0.39,Child
250,1.34,Teen
123,0.66,Child
453,2.29,Adult
505,2.45,Adult
561,2.67,Adult
235,1.27,Teen
240,1.23,Teen
487,2.5,Adult
83,0.41,Child
73,0.41,Child
79,0.4,Child
542,2.63,Adult
592,3.0,Adult
289,1.49,Teen
262,1.24,Teen
463,2.42,Adult
307,1.49,Teen
578,2.77,Adult
84,0.42,Child
275,1.27,Teen
530,2.67,Adult
132,0.63,Child
250,1.18,Teen
327,1.5,Teen
101,0.58,Child
136,0.72,Child
642,3.08,Adult
291,1.33,Teen
252,1.16,Teen
88,0.38,Child
326,1.75,Teen
552,2.65,Adult
71,0.37,Child
254,1.28,Teen
286,1.55,Teen
133,0.64,Child
133,0.69,Child
615,3.07,Adult
133,0.69,Child
500,2.46,Adult
79,0.41,Child
251,1.17,Teen
82,0.35,Child
249,1.23,Teen
639,3.04,Adult
314,1.44,Teen
127,0.65,Child
486,2.34,Adult
97,0.55,Child
548,2.71,Adult
464,2.39,Adult
267,1.41,Teen
243,1.3,Teen
316,1.52,Teen
87,0.4,Child
132,0.68,Child
457,2.39,Adult
93,0.48,Child
140,0.64,Child
619,3.14,Adult
327,1.75,Teen
108,0.49,Child
255,1.36,Teen
136,0.74,Child
305,1.43,Teen
603,2.88,Adult
251,1.37,Teen
538,2.76,Adult
484,2.49,Adult
546,2.68,Adult
598,2.87,Adult
311,1.44,Teen
277,1.33,Teen
282,1.37,Teen
588,2.81,Adult
517,2.6,Adult
93,0.42,Child
139,0.63,Child
649,3.3,Adult
244,1.32,Teen
253,1.34,Teen
112,0.51,Child
78,0.36,Child
280,1.41,Teen
531,2.68,Adult
136,0.6,Child
111,0.55,Child
96,0.42,Child
102,0.49,Child
508,2.49,Adult
628,3.19,Adult
328,1.71,Teen
326,1.59,Teen
254,1.21,Teen
589,2.95,Adult
555,2.66,Adult
291,1.45,Teen
296,1.51,Teen
77,0.42,Child
313,1.57,Teen
540,2.81,Adult
268,1.26,Teen
129,0.59,Child
604,3.09,Adult
78,0.39,Child
553,2.66,Adult
548,2.82,Adult
98,0.53,Child
320,1.58,Teen
584,2.98,Adult
276,1.4,Teen
609,3.03,Adult
286,1.33,Teen
299,1.48,Teen
73,0.39,Child
554,2.65,Adult
512,2.68,Adult
76,0.38,Child
276,1.49,Teen
291,1.35,Teen
545,2.59,Adult
115,0.6,Child
238,1.17,Teen
281,1.4,Teen
491,2.49,Adult
461,2.31,Adult
533,2.57,Adult
255,1.31,Teen
321,1.58,Teen
317,1.43,Teen
282,1.42,Teen
101,0.51,Child
493,2.44,Adult
548,2.76,Adult
96,0.47,Child
525,2.57,Adult
105,0.45,Child
257,1.2,Teen
602,3.01,Adult
104,0.47,Child
253,1.34,Teen
100,0.55,Child
515,2.45,Adult
241,1.22,Teen
499,2.43,Adult
140,0.62,Child
462,2.31,Adult
606,3.11,Adult
607,2.91,Adult
607,2.92,Adult
516,2.68,Adult
611,3.13,Adult
315,1.48,Teen
303,1.56,Teen
452,2.37,Adult
619,3.2,Adult
456,2.27,Adult
295,1.49,Teen
267,1.21,Teen
118,0.64,Child
276,1.41,Teen
623,2.97,Adult
574,2.75,Adult
137,0.7,Child
311,1.66,Teen
493,2.35,Adult
77,0.36,Child
80,0.44,Child
624,3.26,Adult
106,0.54,Child
103,0.58,Child
241,1.29,Teen
127,0.55,Child
260,1.29,Teen
609,2.94,Adult
594,2.98,Adult
305,1.62,Teen
117,0.55,Child
319,1.5,Teen
320,1.69,Teen
320,1.52,Teen
93,0.48,Child
233,1.2,Teen
72,0.35,Child
105,0.49,Child
101,0.46,Child
129,0.63,Child
646,3.3,Adult
236,1.12,Teen
553,2.72,Adult
463,2.29,Adult
77,0.38,Child
101,0.47,Child
102,0.59,Child
242,1.14,Teen
617,2.97,Adult
238,1.27,Teen
460,2.33,Adult
301,1.64,Teen
566,2.71,Adult
263,1.44,Teen
618,3.01,Adult
273,1.46,Teen
311,1.51,Teen
247,1.22,Teen
114,0.52,Child
322,1.67,Teen
305,1.66,Teen
308,1.66,Teen
84,0.37,Child
103,0.46,Child
576,2.93,Adult
320,1.64,Teen
132,0.64,Child
246,1.22,Teen
104,0.55,Child
597,2.85,Adult
247,1.15,Teen
301,1.5,Teen
630,3.19,Adult
269,1.22,Teen
539,2.79,Adult
486,2.51,Adult
71,0.36,Child
504,2.39,Adult
611,2.95,Adult
277,1.28,Teen
100,0.47,Child
81,0.35,Child
292,1.46,Teen
106,0.53,Child
127,0.58,Child
135,0.73,Child
601,3.14,Adult
126,0.63,Child
72,0.35,Child
308,1.44,Teen
541,2.67,Adult
324,1.75,Teen
291,1.55,Teen
113,0.52,Child
474,2.45,Adult
258,1.21,Teen
95,0.43,Child
608,3.03,Adult
310,1.6,Teen
456,2.38,Adult
136,0.62,Child
86,0.48,Child
122,0.53,Child
130,0.66,Child
238,1.28,Teen
328,1.58,Teen
454,2.2,Adult
287,1.46,Teen
87,0.39,Child
497,2.58,Adult
646,3.28,Adult
530,2.58,Adult
140,0.74,Child
316,1.44,Teen
268,1.24,Teen
103,0.49,Child
299,1.53,Teen
639,3.05,Adult
71,0.35,Child
531,2.76,Adult
93,0.4,Child
490,2.44,Adult
532,2.71,Adult
262,1.19,Teen
111,0.53,Child
244,1.33,Teen
263,1.32,Teen
604,3.07,Adult
280,1.32,Teen
138,0.65,Child
132,0.69,Child
113,0.63,Child
322,1.62,Teen
130,0.57,Child
617,3.01,Adult
136,0.65,Child
296,1.5,Teen
502,2.58,Adult
109,0.5,Child
459,2.3,Adult
324,1.73,Teen
615,2.98,Adult
136,0.61,Child
491,2.56,Adult
321,1.48,Teen
263,1.35,Teen
126,0.64,Child
266,1.28,Teen
103,0.52,Child
82,0.43,Child
107,0.59,Child
82,0.36,Child
304,1.65,Teen
543,2.78,Adult
137,0.75,Child
595,3.03,Adult
92,0.48,Child
263,1.33,Teen
627,3.21,Adult
72,0.35,Child
119,0.6,Child
539,2.73,Adult
329,1.5,Teen
111,0.56,Child
584,2.85,Adult
122,0.55,Child
592,2.85,Adult
630,3.01,Adult
580,3.0,Adult
536,2.79,Adult
495,2.37,Adult
550,2.7,Adult
540,2.57,Adult
538,2.64,Adult
138,0.66,Child
597,3.06,Adult
92,0.47,Child
572,2.88,Adult
89,0.39,Child
240,1.32,Teen
140,0.6,Child
466,2.23,Adult
249,1.18,Teen
80,0.39,Child
287,1.44,Teen
124,0.64,Child
263,1.29,Teen
230,1.14,Teen
92,0.44,Child
524,2.52,Adult
461,2.2,Adult
99,0.43,Child
134,0.63,Child
99,0.51,Child
517,2.71,Adult
595,2.98,Adult
273,1.3,Teen
131,0.63,Child
265,1.23,Teen
631,3.19,Adult
535,2.69,Adult
565,2.69,Adult
279,1.46,Teen
581,2.85,Adult
630,3.13,Adult
72,0.35,Child
77,0.35,Child
560,2.79,Adult
130,0.68,Child
90,0.41,Child
304,1.51,Teen
97,0.53,Child
518,2.6,Adult
322,1.61,Teen
264,1.36,Teen
541,2.7,Adult
315,1.68,Teen
283,1.55,Teen
261,1.21,Teen
554,2.74,Adult
648,3.17,Adult
284,1.45,Teen
97,0.46,Child
313,1.62,Teen
254,1.17,Teen
636,3.21,Adult
308,1.68,Teen
87,0.39,Child
641,3.07,Adult
133,0.71,Child
111,0.55,Child
231,1.18,Teen
312,1.45,Teen
106,0.46,Child
515,2.5,Adult
238,1.27,Teen
284,1.35,Teen
94,0.52,Child
277,1.47,Teen
128,0.62,Child
109,0.47,Child
272,1.27,Teen
90,0.44,Child
288,1.48,Teen
95,0.5,Child
134,0.62,Child
95,0.45,Child
591,3.03,Adult
99,0.5,Child
263,1.42,Teen
76,0.37,Child
132,0.62,Child
318,1.52,Teen
498,2.48,Adult
135,0.6,Child
119,0.62,Child
486,2.39,Adult
133,0.61,Child
298,1.43,Teen
87,0.42,Child
237,1.1,Teen
136,0.59,Child
293,1.43,Teen
295,1.5,Teen
329,1.61,Teen
75,0.39,Child
261,1.37,Teen
526,2.63,Adult
315,1.59,Teen
273,1.46,Teen
250,1.13,Teen
275,1.27,Teen
316,1.73,Teen
494,2.4,Adult
288,1.46,Teen
450,2.27,Adult
248,1.35,Teen
506,2.62,Adult
119,0.59,Child
233,1.11,Teen
503,2.49,Adult
140,0.75,Child
107,0.48,Child
642,3.21,Adult
105,0.59,Child
134,0.7,Child
537,2.64,Adult
315,1.43,Teen
73,0.38,Child
288,1.38,Teen
87,0.41,Child
456,2.33,Adult
321,1.54,Teen
254,1.35,Teen
116,0.63,Child
531,2.59,Adult
130,0.56,Child
295,1.57,Teen
310,1.7,Teen
273,1.48,Teen
305,1.6,Teen
293,1.44,Teen
593,2.94,Adult
71,0.35,Child
136,0.64,Child
525,2.64,Adult
585,2.9,Adult
504,2.39,Adult
325,1.68,Teen
77,0.4,Child
271,1.34,Teen
573,2.9,Adult
625,3.0,Adult
72,0.37,Child
282,1.38,Teen
303,1.42,Teen
641,3.09,Adult
609,2.94,Adult
615,3.11,Adult
496,2.47,Adult
645,3.23,Adult
262,1.4,Teen
303,1.51,Teen
312,1.44,Teen
617,3.02,Adult
231,1.1,Teen
237,1.14,Teen
555,2.88,Adult
563,2.75,Adult
612,2.95,Adult
134,0.68,Child
122,0.55,Child
119,0.55,Child
316,1.57,Teen
476,2.28,Adult
95,0.45,Child
122,0.64,Child
303,1.59,Teen
268,1.34,Teen
492,2.37,Adult
323,1.52,Teen
311,1.55,Teen
518,2.7,Adult
517,2.64,Adult
325,1.69,Teen
98,0.54,Child
92,0.5,Child
486,2.32,Adult
75,0.36,Child
265,1.3,Teen
524,2.61,Adult
239,1.17,Teen
628,3.21,Adult
464,2.41,Adult
81,0.42,Child
647,3.3,Adult
540,2.62,Adult
326,1.5,Teen
76,0.43,Child
639,3.11,Adult
535,2.78,Adult
103,0.48,Child
508,2.51,Adult
512,2.63,Adult
125,0.58,Child
305,1.56,Teen
111,0.54,Child
282,1.5,Teen
270,1.47,Teen
569,2.81,Adult
135,0.64,Child
640,3.21,Adult
544,2.81,Adult
257,1.35,Teen
518,2.47,Adult
75,0.37,Child
130,0.57,Child
89,0.48,Child
301,1.55,Teen
552,2.63,Adult
627,3.22,Adult
552,2.72,Adult
320,1.6,Teen
129,0.63,Child
119,0.53,Child
82,0.35,Child
281,1.29,Teen
295,1.38,Teen
306,1.41,Teen
243,1.15,Teen
457,2.24,Adult
478,2.29,Adult
120,0.68,Child
122,0.7,Child
637,3.3,Adult
635,3.07,Adult
131,0.64,Child
136,0.6,Child
316,1.51,Teen
457,2.36,Adult
482,2.42,Adult
506,2.63,Adult
116,0.64,Child
271,1.31,Teen
310,1.46,Teen
325,1.75,Teen
626,3.25,Adult
139,0.72,Child
76,0.37,Child
628,3.17,Adult
99,0.44,Child
492,2.54,Adult
109,0.48,Child
301,1.45,Teen
537,2.8,Adult
95,0.53,Child
117,0.53,Child
280,1.37,Teen
273,1.36,Teen
322,1.72,Teen
72,0.35,Child
597,2.89,Adult
234,1.18,Teen
80,0.42,Child
619,3.2,Adult
470,2.31,Adult
259,1.21,Teen
298,1.59,Teen
591,2.96,Adult
250,1.2,Teen
277,1.33,Teen
